状态ID,页面ID,平台,页面,状态码,进入条件,展示行为,允许操作,禁用操作,恢复策略,埋点事件,是否终态,成熟度
STA-00838,SHEET-CONTENT-INVALID-001,ANDROID,联系方式失效反馈,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_sheet_content_invalid_001_success,是,FROZEN_V1.2.2
STA-00839,SHEET-CONTENT-INVALID-001,ANDROID,联系方式失效反馈,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_sheet_content_invalid_001_error,否,FROZEN_V1.2.2
STA-00840,SHEET-CONTENT-INVALID-001,ANDROID,联系方式失效反馈,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_sheet_content_invalid_001_offline,否,FROZEN_V1.2.2
STA-00841,DIALOG-CHAT-BLOCK-001,ANDROID,拉黑与解除拉黑确认,OPEN,由页面业务状态机进入,按“OPEN”状态展示标准状态区,按页面动作矩阵,与当前状态或权限冲突的写操作,重新查询服务端事实,page_state_dialog_chat_block_001_open,否,FROZEN_V1.2.2
STA-00842,DIALOG-CHAT-BLOCK-001,ANDROID,拉黑与解除拉黑确认,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态或权限冲突的写操作,离开时执行脏表单保护,page_state_dialog_chat_block_001_editing,否,FROZEN_V1.2.2
STA-00843,DIALOG-CHAT-BLOCK-001,ANDROID,拉黑与解除拉黑确认,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态或权限冲突的写操作,不得重复生成新业务意图,page_state_dialog_chat_block_001_submitting,否,FROZEN_V1.2.2
STA-00844,DIALOG-CHAT-BLOCK-001,ANDROID,拉黑与解除拉黑确认,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态或权限冲突的写操作,一次性敏感输入立即清除,page_state_dialog_chat_block_001_success,是,FROZEN_V1.2.2
STA-00845,DIALOG-CHAT-BLOCK-001,ANDROID,拉黑与解除拉黑确认,ERROR,请求失败且无法展示可靠内容,展示面向用户的失败原因、重试和返回，不显示内部诊断信息,重试/返回,与当前状态或权限冲突的写操作,按用户可见错误类型恢复,page_state_dialog_chat_block_001_error,否,FROZEN_V1.2.2
STA-00846,DIALOG-CHAT-BLOCK-001,ANDROID,拉黑与解除拉黑确认,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态或权限冲突的写操作,恢复网络后主动刷新,page_state_dialog_chat_block_001_offline,否,FROZEN_V1.2.2
STA-00847,DIALOG-CHAT-DELETE-001,ANDROID,删除会话确认,OPEN,由页面业务状态机进入,按“OPEN”状态展示标准状态区,按页面动作矩阵,与当前状态或权限冲突的写操作,重新查询服务端事实,page_state_dialog_chat_delete_001_open,否,FROZEN_V1.2.2
STA-00848,DIALOG-CHAT-DELETE-001,ANDROID,删除会话确认,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态或权限冲突的写操作,离开时执行脏表单保护,page_state_dialog_chat_delete_001_editing,否,FROZEN_V1.2.2
STA-00849,DIALOG-CHAT-DELETE-001,ANDROID,删除会话确认,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态或权限冲突的写操作,不得重复生成新业务意图,page_state_dialog_chat_delete_001_submitting,否,FROZEN_V1.2.2
STA-00850,DIALOG-CHAT-DELETE-001,ANDROID,删除会话确认,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态或权限冲突的写操作,一次性敏感输入立即清除,page_state_dialog_chat_delete_001_success,是,FROZEN_V1.2.2
STA-00851,DIALOG-CHAT-DELETE-001,ANDROID,删除会话确认,ERROR,请求失败且无法展示可靠内容,展示面向用户的失败原因、重试和返回，不显示内部诊断信息,重试/返回,与当前状态或权限冲突的写操作,按用户可见错误类型恢复,page_state_dialog_chat_delete_001_error,否,FROZEN_V1.2.2
STA-00852,DIALOG-CHAT-DELETE-001,ANDROID,删除会话确认,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态或权限冲突的写操作,恢复网络后主动刷新,page_state_dialog_chat_delete_001_offline,否,FROZEN_V1.2.2
STA-00853,SCR-SUPPORT-005,ANDROID,帮助文章详情,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_support_005_loading,否,FROZEN_V1.2.2
STA-00854,SCR-SUPPORT-005,ANDROID,帮助文章详情,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_support_005_content,否,FROZEN_V1.2.2
STA-00855,SCR-SUPPORT-005,ANDROID,帮助文章详情,STALE_CACHE,展示最近缓存但未验证最新版本,明确标记可能过期，禁用依赖版本的写操作,刷新,与当前状态、权限或服务端version冲突的所有写操作,成功后进入CONTENT,page_state_scr_support_005_stale_cache,否,FROZEN_V1.2.2
STA-00856,SCR-SUPPORT-005,ANDROID,帮助文章详情,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_scr_support_005_not_found,是,FROZEN_V1.2.2
STA-00857,SCR-SUPPORT-005,ANDROID,帮助文章详情,FORBIDDEN,已认证但无页面或字段权限,展示无权限原因，不泄露资源是否存在,返回,与当前状态、权限或服务端version冲突的所有写操作,权限变化后重新进入,page_state_scr_support_005_forbidden,是,FROZEN_V1.2.2
STA-00858,SCR-SUPPORT-005,ANDROID,帮助文章详情,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_support_005_error,否,FROZEN_V1.2.2
STA-00859,SCR-SUPPORT-005,ANDROID,帮助文章详情,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_support_005_offline,否,FROZEN_V1.2.2
STA-00860,H5-001,H5,品牌宣传下载页,SSR_CONTENT,服务器已渲染公开内容,首屏可读且包含SEO元数据,打开App/下载/浏览,与当前状态、权限或服务端version冲突的所有写操作,客户端增强失败不影响正文,page_state_h5_001_ssr_content,否,FROZEN_V1.2.2
STA-00861,H5-001,H5,品牌宣传下载页,CLIENT_HYDRATED,客户端增强完成,启用归因、深链和交互,下载/导航,与当前状态、权限或服务端version冲突的所有写操作,仍保持SSR内容一致,page_state_h5_001_client_hydrated,否,FROZEN_V1.2.2
STA-00862,H5-001,H5,品牌宣传下载页,DOWNLOAD_UNAVAILABLE,当前无可用下载产物,说明原因并提供刷新/教程,刷新/查看教程,与当前状态、权限或服务端version冲突的所有写操作,禁止返回过期或未验证APK,page_state_h5_001_download_unavailable,否,FROZEN_V1.2.2
STA-00863,H5-001,H5,品牌宣传下载页,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_001_error,否,FROZEN_V1.2.2
STA-00864,H5-001,H5,品牌宣传下载页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_001_offline,否,FROZEN_V1.2.2
STA-00865,H5-002,H5,安装教程,SSR_CONTENT,服务器已渲染公开内容,首屏可读且包含SEO元数据,打开App/下载/浏览,与当前状态、权限或服务端version冲突的所有写操作,客户端增强失败不影响正文,page_state_h5_002_ssr_content,否,FROZEN_V1.2.2
STA-00866,H5-002,H5,安装教程,CLIENT_HYDRATED,客户端增强完成,启用归因、深链和交互,下载/导航,与当前状态、权限或服务端version冲突的所有写操作,仍保持SSR内容一致,page_state_h5_002_client_hydrated,否,FROZEN_V1.2.2
STA-00867,H5-002,H5,安装教程,DOWNLOAD_UNAVAILABLE,当前无可用下载产物,说明原因并提供刷新/教程,刷新/查看教程,与当前状态、权限或服务端version冲突的所有写操作,禁止返回过期或未验证APK,page_state_h5_002_download_unavailable,否,FROZEN_V1.2.2
STA-00868,H5-002,H5,安装教程,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_002_error,否,FROZEN_V1.2.2
STA-00869,H5-002,H5,安装教程,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_002_offline,否,FROZEN_V1.2.2
STA-00870,H5-003,H5,邀请落地页,SSR_CONTENT,服务器已渲染公开内容,首屏可读且包含SEO元数据,打开App/下载/浏览,与当前状态、权限或服务端version冲突的所有写操作,客户端增强失败不影响正文,page_state_h5_003_ssr_content,否,FROZEN_V1.2.2
STA-00871,H5-003,H5,邀请落地页,CLIENT_HYDRATED,客户端增强完成,启用归因、深链和交互,下载/导航,与当前状态、权限或服务端version冲突的所有写操作,仍保持SSR内容一致,page_state_h5_003_client_hydrated,否,FROZEN_V1.2.2
STA-00872,H5-003,H5,邀请落地页,DOWNLOAD_UNAVAILABLE,当前无可用下载产物,说明原因并提供刷新/教程,刷新/查看教程,与当前状态、权限或服务端version冲突的所有写操作,禁止返回过期或未验证APK,page_state_h5_003_download_unavailable,否,FROZEN_V1.2.2
STA-00873,H5-003,H5,邀请落地页,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_003_error,否,FROZEN_V1.2.2
STA-00874,H5-003,H5,邀请落地页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_003_offline,否,FROZEN_V1.2.2
STA-00875,H5-013,H5,H5邀请注册页,INITIAL,页面首次创建，尚未发起请求,显示稳定布局占位，禁止空白闪烁,发起初始化,与当前状态、权限或服务端version冲突的所有写操作,自动进入下一状态,page_state_h5_013_initial,否,FROZEN_V1.2.2
STA-00876,H5-013,H5,H5邀请注册页,EDITING,用户正在编辑表单,显示字段、帮助、脏状态和保存/提交入口,编辑/保存/提交/取消,与当前状态、权限或服务端version冲突的所有写操作,离开时执行脏表单保护,page_state_h5_013_editing,否,FROZEN_V1.2.2
STA-00877,H5-013,H5,H5邀请注册页,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_h5_013_validating,否,FROZEN_V1.2.2
STA-00878,H5-013,H5,H5邀请注册页,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_h5_013_submitting,否,FROZEN_V1.2.2
STA-00879,H5-013,H5,H5邀请注册页,RATE_LIMITED,触发频率限制,显示剩余等待时间和限制原因,等待/返回,与当前状态、权限或服务端version冲突的所有写操作,倒计时结束后重新获取前置条件,page_state_h5_013_rate_limited,否,FROZEN_V1.2.2
STA-00880,H5-013,H5,H5邀请注册页,LOCKED,账号、验证码或安全流程被锁定,展示锁定原因、期限和申诉/客服入口,返回/申诉,与当前状态、权限或服务端version冲突的所有写操作,禁止继续提交,page_state_h5_013_locked,是,FROZEN_V1.2.2
STA-00881,H5-013,H5,H5邀请注册页,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_h5_013_success,是,FROZEN_V1.2.2
STA-00882,H5-013,H5,H5邀请注册页,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_013_error,否,FROZEN_V1.2.2
STA-00883,H5-013,H5,H5邀请注册页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_013_offline,否,FROZEN_V1.2.2
STA-00884,H5-004,H5,项目分享页,SSR_CONTENT,服务器已渲染公开内容,首屏可读且包含SEO元数据,打开App/下载/浏览,与当前状态、权限或服务端version冲突的所有写操作,客户端增强失败不影响正文,page_state_h5_004_ssr_content,否,FROZEN_V1.2.2
STA-00885,H5-004,H5,项目分享页,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_h5_004_not_found,是,FROZEN_V1.2.2
STA-00886,H5-004,H5,项目分享页,OFFLINE_CONTENT,由页面业务状态机进入,按“OFFLINE_CONTENT”状态展示标准状态区,按页面动作矩阵,与当前状态、权限或服务端version冲突的所有写操作,重新查询服务端事实,page_state_h5_004_offline_content,否,FROZEN_V1.2.2
STA-00887,H5-004,H5,项目分享页,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_004_error,否,FROZEN_V1.2.2
STA-00888,H5-004,H5,项目分享页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_004_offline,否,FROZEN_V1.2.2
STA-00889,H5-005,H5,App分享页,SSR_CONTENT,服务器已渲染公开内容,首屏可读且包含SEO元数据,打开App/下载/浏览,与当前状态、权限或服务端version冲突的所有写操作,客户端增强失败不影响正文,page_state_h5_005_ssr_content,否,FROZEN_V1.2.2
STA-00890,H5-005,H5,App分享页,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_h5_005_not_found,是,FROZEN_V1.2.2
STA-00891,H5-005,H5,App分享页,OFFLINE_CONTENT,由页面业务状态机进入,按“OFFLINE_CONTENT”状态展示标准状态区,按页面动作矩阵,与当前状态、权限或服务端version冲突的所有写操作,重新查询服务端事实,page_state_h5_005_offline_content,否,FROZEN_V1.2.2
STA-00892,H5-005,H5,App分享页,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_005_error,否,FROZEN_V1.2.2
STA-00893,H5-005,H5,App分享页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_005_offline,否,FROZEN_V1.2.2
STA-00894,H5-006,H5,群聊分享页,SSR_CONTENT,服务器已渲染公开内容,首屏可读且包含SEO元数据,打开App/下载/浏览,与当前状态、权限或服务端version冲突的所有写操作,客户端增强失败不影响正文,page_state_h5_006_ssr_content,否,FROZEN_V1.2.2
STA-00895,H5-006,H5,群聊分享页,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_h5_006_not_found,是,FROZEN_V1.2.2
STA-00896,H5-006,H5,群聊分享页,OFFLINE_CONTENT,由页面业务状态机进入,按“OFFLINE_CONTENT”状态展示标准状态区,按页面动作矩阵,与当前状态、权限或服务端version冲突的所有写操作,重新查询服务端事实,page_state_h5_006_offline_content,否,FROZEN_V1.2.2
STA-00897,H5-006,H5,群聊分享页,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_006_error,否,FROZEN_V1.2.2
STA-00898,H5-006,H5,群聊分享页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_006_offline,否,FROZEN_V1.2.2
STA-00899,H5-007,H5,团队长分享页,SSR_CONTENT,服务器已渲染公开内容,首屏可读且包含SEO元数据,打开App/下载/浏览,与当前状态、权限或服务端version冲突的所有写操作,客户端增强失败不影响正文,page_state_h5_007_ssr_content,否,FROZEN_V1.2.2
STA-00900,H5-007,H5,团队长分享页,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_h5_007_not_found,是,FROZEN_V1.2.2
STA-00901,H5-007,H5,团队长分享页,OFFLINE_CONTENT,由页面业务状态机进入,按“OFFLINE_CONTENT”状态展示标准状态区,按页面动作矩阵,与当前状态、权限或服务端version冲突的所有写操作,重新查询服务端事实,page_state_h5_007_offline_content,否,FROZEN_V1.2.2
STA-00902,H5-007,H5,团队长分享页,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_007_error,否,FROZEN_V1.2.2
STA-00903,H5-007,H5,团队长分享页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_007_offline,否,FROZEN_V1.2.2
STA-00904,H5-008,H5,统一收银台,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_h5_008_loading,否,FROZEN_V1.2.2
STA-00905,H5-008,H5,统一收银台,QUOTE_READY,服务端报价有效,展示最终金额、费用、权益和过期时间,确认下单/返回,与当前状态、权限或服务端version冲突的所有写操作,过期后必须重新报价,page_state_h5_008_quote_ready,否,FROZEN_V1.2.2
STA-00906,H5-008,H5,统一收银台,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_h5_008_submitting,否,FROZEN_V1.2.2
STA-00907,H5-008,H5,统一收银台,PAYMENT_PENDING,支付已创建但未确认最终结果,轮询/订阅服务端订单状态,查询/返回,与当前状态、权限或服务端version冲突的所有写操作,不得重复创建订单,page_state_h5_008_payment_pending,否,FROZEN_V1.2.2
STA-00908,H5-008,H5,统一收银台,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_h5_008_success,是,FROZEN_V1.2.2
STA-00909,H5-008,H5,统一收银台,FAILED,业务操作明确失败,展示业务原因和可执行下一步,修改后重试/返回,与当前状态、权限或服务端version冲突的所有写操作,保留非敏感上下文,page_state_h5_008_failed,是,FROZEN_V1.2.2
STA-00910,H5-008,H5,统一收银台,UNKNOWN,客户端无法确认服务端最终结果,显示处理中并调用查单/查询接口,继续查询/返回,与当前状态、权限或服务端version冲突的所有写操作,禁止直接判定失败并重复扣款,page_state_h5_008_unknown,否,FROZEN_V1.2.2
STA-00911,H5-008,H5,统一收银台,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_008_error,否,FROZEN_V1.2.2
STA-00912,H5-008,H5,统一收银台,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_008_offline,否,FROZEN_V1.2.2
STA-00913,H5-009,H5,支付结果,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_h5_009_validating,否,FROZEN_V1.2.2
STA-00914,H5-009,H5,支付结果,QUERYING,回跳后查询服务端最终结果,展示查询状态,继续查询/返回App,与当前状态、权限或服务端version冲突的所有写操作,结果只信任服务端,page_state_h5_009_querying,否,FROZEN_V1.2.2
STA-00915,H5-009,H5,支付结果,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_h5_009_success,是,FROZEN_V1.2.2
STA-00916,H5-009,H5,支付结果,FAILED,业务操作明确失败,展示业务原因和可执行下一步,修改后重试/返回,与当前状态、权限或服务端version冲突的所有写操作,保留非敏感上下文,page_state_h5_009_failed,是,FROZEN_V1.2.2
STA-00917,H5-009,H5,支付结果,UNKNOWN,客户端无法确认服务端最终结果,显示处理中并调用查单/查询接口,继续查询/返回,与当前状态、权限或服务端version冲突的所有写操作,禁止直接判定失败并重复扣款,page_state_h5_009_unknown,否,FROZEN_V1.2.2
STA-00918,H5-009,H5,支付结果,QUOTE_READY,服务端报价有效,展示最终金额、费用、权益和过期时间,确认下单/返回,与当前状态、权限或服务端version冲突的所有写操作,过期后必须重新报价,page_state_h5_009_quote_ready,否,FROZEN_V1.2.2
STA-00919,H5-009,H5,支付结果,PAYMENT_PENDING,支付已创建但未确认最终结果,轮询/订阅服务端订单状态,查询/返回,与当前状态、权限或服务端version冲突的所有写操作,不得重复创建订单,page_state_h5_009_payment_pending,否,FROZEN_V1.2.2
STA-00920,H5-009,H5,支付结果,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_009_error,否,FROZEN_V1.2.2
STA-00921,H5-009,H5,支付结果,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_009_offline,否,FROZEN_V1.2.2
STA-00922,H5-010,H5,协议与规则,SSR_CONTENT,服务器已渲染公开内容,首屏可读且包含SEO元数据,打开App/下载/浏览,与当前状态、权限或服务端version冲突的所有写操作,客户端增强失败不影响正文,page_state_h5_010_ssr_content,否,FROZEN_V1.2.2
STA-00923,H5-010,H5,协议与规则,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_h5_010_not_found,是,FROZEN_V1.2.2
STA-00924,H5-010,H5,协议与规则,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_010_error,否,FROZEN_V1.2.2
STA-00925,H5-010,H5,协议与规则,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_010_offline,否,FROZEN_V1.2.2
STA-00926,H5-011,H5,帮助文章,SSR_CONTENT,服务器已渲染公开内容,首屏可读且包含SEO元数据,打开App/下载/浏览,与当前状态、权限或服务端version冲突的所有写操作,客户端增强失败不影响正文,page_state_h5_011_ssr_content,否,FROZEN_V1.2.2
STA-00927,H5-011,H5,帮助文章,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_h5_011_not_found,是,FROZEN_V1.2.2
STA-00928,H5-011,H5,帮助文章,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_011_error,否,FROZEN_V1.2.2
STA-00929,H5-011,H5,帮助文章,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_011_offline,否,FROZEN_V1.2.2
STA-00930,H5-012,H5,活体回跳,SSR_CONTENT,服务器已渲染公开内容,首屏可读且包含SEO元数据,打开App/下载/浏览,与当前状态、权限或服务端version冲突的所有写操作,客户端增强失败不影响正文,page_state_h5_012_ssr_content,否,FROZEN_V1.2.2
STA-00931,H5-012,H5,活体回跳,CLIENT_HYDRATED,客户端增强完成,启用归因、深链和交互,下载/导航,与当前状态、权限或服务端version冲突的所有写操作,仍保持SSR内容一致,page_state_h5_012_client_hydrated,否,FROZEN_V1.2.2
STA-00932,H5-012,H5,活体回跳,DOWNLOAD_UNAVAILABLE,当前无可用下载产物,说明原因并提供刷新/教程,刷新/查看教程,与当前状态、权限或服务端version冲突的所有写操作,禁止返回过期或未验证APK,page_state_h5_012_download_unavailable,否,FROZEN_V1.2.2
STA-00933,H5-012,H5,活体回跳,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_h5_012_error,否,FROZEN_V1.2.2
STA-00934,H5-012,H5,活体回跳,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_h5_012_offline,否,FROZEN_V1.2.2
STA-00935,ADM-DASH-001,ADMIN,数据驾驶舱,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_dash_001_loading,否,FROZEN_V1.2.2
STA-00936,ADM-DASH-001,ADMIN,数据驾驶舱,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_adm_dash_001_content,否,FROZEN_V1.2.2
STA-00937,ADM-DASH-001,ADMIN,数据驾驶舱,PARTIAL_CONTENT,部分模块成功、部分模块失败,保留成功模块，失败模块显示局部重试,重试失败模块,与当前状态、权限或服务端version冲突的所有写操作,不得将局部失败升级为全页失败,page_state_adm_dash_001_partial_content,否,FROZEN_V1.2.2
STA-00938,ADM-DASH-001,ADMIN,数据驾驶舱,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_dash_001_no_permission,是,FROZEN_V1.2.2
STA-00939,ADM-DASH-001,ADMIN,数据驾驶舱,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_dash_001_error,否,FROZEN_V1.2.2
STA-00940,ADM-DASH-001,ADMIN,数据驾驶舱,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_dash_001_offline,否,FROZEN_V1.2.2
STA-00941,ADM-USER-001,ADMIN,用户列表,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_user_001_loading,否,FROZEN_V1.2.2
