故事ID,版本,主题,用户故事,平台,模块,模板ID,页面ID,operationId,API契约,需求ID,配置项,数据表,测试ID,依赖版本,责任角色,验收条件,DoR,状态
STORY-R28-001,R28,运营：首页CMS、H5宣传页CMS、公告帮助协议,作为具备 cms.manage 的后台员工；写操作另需 cms.manage，我需要完成首页CMS、H5宣传页CMS、公告帮助协议的完整业务流程，以便在不依赖研发临时决策的情况下实现模块、轮播、专题。,ADMIN,运营,ADM-CMS,ADM-CMS-001;ADM-CMS-002;ADM-CMS-003,adminCMSGetCmsHomeModules;adminCMSPutCmsHomeModules;adminCMSGetCmsBanners;adminCMSPostCmsBanners;adminCMSGetCmsArticles;adminCMSPostCmsArticles;adminCMSGetCmsH5Pages;adminCMSPutCmsH5PagesByCode;adminAgreementsGetAgreements;adminAgreementsPostAgreementsByCodeVersions,GET /admin-api/v1/cms/home-modules;PUT /admin-api/v1/cms/home-modules;GET /admin-api/v1/cms/banners;POST /admin-api/v1/cms/banners;GET /admin-api/v1/cms/articles;POST /admin-api/v1/cms/articles;GET /admin-api/v1/cms/h5-pages;PUT /admin-api/v1/cms/h5-pages/{code};GET /admin-api/v1/agreements;POST /admin-api/v1/agreements/{code}/versions,REQ-CMS-001;REQ-PAGE-SPEC-001;REQ-ADMIN-OPS-001,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,home_modules;banners;cms_articles;h5_page_configs;agreements;app_versions;content_posts;admin_users;admin_roles;admin_permissions;admin_user_roles;admin_role_permissions;admin_operation_logs;admin_approval_requests,TST-CMS_001-HAPPY;TST-CMS_001-IDEMPOTENT;TST-V122-026;TST-V122-027,R06;R13;R15,admin_frontend_engineer;backend_engineer;test_engineer,ADM-CMS-001;ADM-CMS-002;ADM-CMS-003 全部绑定模板 ADM-CMS，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：adminCMSGetCmsHomeModules;adminCMSPutCmsHomeModules;adminCMSGetCmsBanners;adminCMSPostCmsBanners;adminCMSGetCmsArticles;adminCMSPostCmsArticles;adminCMSGetCmsH5Pages;adminCMSPutCmsH5PagesByCode;adminAgreementsGetAgreements;adminAgreementsPostAgreementsByCodeVersions；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-CMS_001-HAPPY;TST-CMS_001-IDEMPOTENT;TST-V122-026;TST-V122-027,READY,READY_FOR_IMPLEMENTATION
STORY-R28-002,R28,H5：品牌宣传下载页、安装教程、邀请落地页,作为公开访客或从分享/邀请/支付/实名流程进入的用户，我需要完成品牌宣传下载页、安装教程、邀请落地页的完整业务流程，以便在不依赖研发临时决策的情况下实现品牌官网式页面、下载APK。,H5,H5,H5-LANDING,H5-001;H5-002;H5-003,publicGetHomePage;publicGetAppLatest;publicGetHelpArticlesById;publicGetInviteByCode,GET /public-api/v1/home-page;GET /public-api/v1/app/latest;GET /public-api/v1/help/articles/{id};GET /public-api/v1/invite/{code},REQ-H5-001;REQ-APP-RELEASE-001;REQ-REF-002,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,h5_page_configs;cms_articles;agreements;app_versions;content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;app_release_records;app_build_artifacts;users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;invite_codes;referral_relations;commission_records;referral_activity_progress;referral_milestone_rewards,TST-H5_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-REF_002-HAPPY,R06;R13;R15,web_frontend_engineer;backend_engineer;test_engineer,H5-001;H5-002;H5-003 全部绑定模板 H5-LANDING，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：publicGetHomePage;publicGetAppLatest;publicGetHelpArticlesById;publicGetInviteByCode；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-H5_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-REF_002-HAPPY,READY,READY_FOR_IMPLEMENTATION
STORY-R28-003,R28,H5：项目分享页、App分享页、群聊分享页、团队长分享页,作为公开访客或从分享/邀请/支付/实名流程进入的用户，我需要完成项目分享页、App分享页、群聊分享页、团队长分享页的完整业务流程，以便在不依赖研发临时决策的情况下实现项目预览和下载引导。,H5,H5,H5-SHARE,H5-004;H5-005;H5-006;H5-007,publicGetShareContentsById,GET /public-api/v1/share/contents/{id},REQ-PROJECT-001;REQ-H5-001;REQ-APP-PROMO-001;REQ-GROUP-001;REQ-TEAM-001,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,h5_page_configs;cms_articles;agreements;app_versions;content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports,TST-PROJECT_001-HAPPY;TST-H5_001-HAPPY;TST-APP_PROMO_001-HAPPY;TST-GROUP_001-HAPPY;TST-TEAM_001-HAPPY,R06;R13;R15,web_frontend_engineer;backend_engineer;test_engineer,H5-004;H5-005;H5-006;H5-007 全部绑定模板 H5-SHARE，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：publicGetShareContentsById；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-PROJECT_001-HAPPY;TST-H5_001-HAPPY;TST-APP_PROMO_001-HAPPY;TST-GROUP_001-HAPPY;TST-TEAM_001-HAPPY,READY,READY_FOR_IMPLEMENTATION
STORY-R28-004,R28,H5品牌宣传、邀请与下载：契约、数据、配置、测试与交接,作为技术负责人，我需要按冻结的 R28 契约和DoR完成数据、后端、配置、测试、观测与交接，使前端故事能够稳定落地并可追溯。,CROSS_PLATFORM,工程治理,N/A,H5-001;H5-002;H5-003;H5-004;H5-005;H5-006;H5-007;ADM-CMS-001;ADM-CMS-002;ADM-CMS-003,publicGetHomePage;publicGetAppLatest;publicGetShareContentsById;publicGetInviteByCode;publicGetInviteByCodeRegistrationConfig;publicGetAgreementsByCode;adminCMSGetCmsHomeModules;adminCMSPutCmsHomeModules;adminCMSGetCmsBanners;adminCMSPostCmsBanners;adminCMSGetCmsArticles;adminCMSPostCmsArticles;adminCMSGetCmsH5Pages;adminCMSPutCmsH5PagesByCode;adminAgreementsGetAgreements;adminAgreementsPostAgreementsByCodeVersions,GET /public-api/v1/home-page;GET /public-api/v1/app/latest;GET /public-api/v1/share/contents/{id};GET /public-api/v1/invite/{code};GET /public-api/v1/invite/{code}/registration-config;GET /public-api/v1/agreements/{code};GET /admin-api/v1/cms/home-modules;PUT /admin-api/v1/cms/home-modules;GET /admin-api/v1/cms/banners;POST /admin-api/v1/cms/banners;GET /admin-api/v1/cms/articles;POST /admin-api/v1/cms/articles;GET /admin-api/v1/cms/h5-pages;PUT /admin-api/v1/cms/h5-pages/{code};GET /admin-api/v1/agreements;POST /admin-api/v1/agreements/{code}/versions,REQ-H5-001;REQ-CMS-001;REQ-DOMAIN-001,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;h5_page_configs;cms_articles;agreements;app_versions;home_modules;banners;agreement_versions;user_agreement_acceptances;app_download_logs;provider_config_definitions;provider_config_versions;provider_connection_tests,TST-CMS_001-HAPPY;TST-CMS_001-IDEMPOTENT;TST-CMS_001-REJECT;TST-H5_001-HAPPY;TST-H5_001-IDEMPOTENT;TST-H5_001-REJECT;TST-V122-026;TST-V122-027,R06;R13;R15,tech_lead;backend_engineer;database_engineer;test_engineer;devops_engineer,OpenAPI、状态机、数据库迁移、配置Schema和页面契约引用一致，代码生成不得产生手工分叉 || 每个需求可追溯到页面/API/表/配置/测试/故事；不适用项必须显式N/A并说明 || 版本DoR全部PASS后方可编码；出口仍按原RELEASE_MANIFEST和ACCEPTANCE_MATRIX执行 || 变更必须通过CR，更新唯一事实源并重新生成全部派生目录和哈希 || 完成Session Log、追踪矩阵、发布证据和下一任务交接,READY,READY_FOR_IMPLEMENTATION
STORY-R29-001,R29,App构建：构建配置、签名配置、构建任务列表、构建任务详情,作为具备 app.build.manage 的后台员工；写操作另需 app.build.manage，我需要完成构建配置、签名配置、构建任务列表、构建任务详情的完整业务流程，以便在不依赖研发临时决策的情况下实现包名、显示名、环境、版本策略、Gradle参数和允许的Git Ref。,ADMIN,App构建,ADM-BUILD,ADM-BUILD-002;ADM-BUILD-003;ADM-BUILD-004;ADM-BUILD-005,adminAppBuildProfileGetAppBuildProfiles;adminAppBuildProfilePutAppBuildProfilesById;adminAppBuildJobGetAppBuildJobs;adminAppBuildJobGetAppBuildJobsById;adminAppBuildJobGetAppBuildJobsByIdLogs;adminAppBuildJobPostAppBuildJobsByIdCancel;adminAppBuildJobPostAppBuildJobsByIdRetry;adminAppBuildArtifactGetAppBuildArtifacts;adminAppBuildProfilePostAppBuildProfiles;adminAppBuildJobPostAppBuildJobs;adminAppSigningPostAppBuildSigningProfiles;adminAppSigningPostAppBuildSigningProfilesByIdTest;adminAppBuildArtifactGetAppBuildArtifactsByIdDownload;adminAppSigningGetAppBuildSigningProfiles,GET /admin-api/v1/app-build/profiles;PUT /admin-api/v1/app-build/profiles/{id};GET /admin-api/v1/app-build/jobs;GET /admin-api/v1/app-build/jobs/{id};GET /admin-api/v1/app-build/jobs/{id}/logs;POST /admin-api/v1/app-build/jobs/{id}/cancel;POST /admin-api/v1/app-build/jobs/{id}/retry;GET /admin-api/v1/app-build/artifacts;POST /admin-api/v1/app-build/profiles;POST /admin-api/v1/app-build/jobs;POST /admin-api/v1/app-build/signing-profiles;POST /admin-api/v1/app-build/signing-profiles/{id}/test;GET /admin-api/v1/app-build/artifacts/{id}/download;GET /admin-api/v1/app-build/signing-profiles,REQ-BUILD-001;REQ-APK-001;REQ-PAGE-SPEC-001;REQ-ADMIN-OPS-001,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,app_build_profiles;app_build_jobs;app_build_job_steps;app_build_artifacts;app_signing_profiles;h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;admin_users;admin_roles;admin_permissions;admin_user_roles;admin_role_permissions;admin_operation_logs;admin_approval_requests,TST-BUILD_001-HAPPY;TST-APK_001-HAPPY;TST-BUILD_001-IDEMPOTENT;TST-APK_001-IDEMPOTENT;TST-V122-037;TST-V122-038,P00;R17;R28,admin_frontend_engineer;backend_engineer;test_engineer,ADM-BUILD-002;ADM-BUILD-003;ADM-BUILD-004;ADM-BUILD-005 全部绑定模板 ADM-BUILD，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：adminAppBuildProfileGetAppBuildProfiles;adminAppBuildProfilePutAppBuildProfilesById;adminAppBuildJobGetAppBuildJobs;adminAppBuildJobGetAppBuildJobsById;adminAppBuildJobGetAppBuildJobsByIdLogs;adminAppBuildJobPostAppBuildJobsByIdCancel;adminAppBuildJobPostAppBuildJobsByIdRetry;adminAppBuildArtifactGetAppBuildArtifacts;adminAppBuildProfilePostAppBuildProfiles;adminAppBuildJobPostAppBuildJobs;adminAppSigningPostAppBuildSigningProfiles;adminAppSigningPostAppBuildSigningProfilesByIdTest;adminAppBuildArtifactGetAppBuildArtifactsByIdDownload;adminAppSigningGetAppBuildSigningProfiles；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-BUILD_001-HAPPY;TST-APK_001-HAPPY;TST-BUILD_001-IDEMPOTENT;TST-APK_001-IDEMPOTENT;TST-V122-037;TST-V122-038,READY,READY_FOR_IMPLEMENTATION
STORY-R29-002,R29,App构建：构建产物与下载、发布与回滚,作为具备 app.build.manage 的后台员工；写操作另需 app.build.manage，我需要完成构建产物与下载、发布与回滚的完整业务流程，以便在不依赖研发临时决策的情况下实现测试APK、正式APK、保留期、下载、二维码和Commit追溯。,ADMIN,App构建,ADM-BUILD,ADM-BUILD-006;ADM-BUILD-007,adminAppBuildProfileGetAppBuildProfiles;adminAppBuildProfilePostAppBuildProfiles;adminAppBuildProfilePutAppBuildProfilesById;adminAppBuildJobGetAppBuildJobs;adminAppBuildJobPostAppBuildJobs;adminAppBuildJobGetAppBuildJobsById;adminAppBuildJobGetAppBuildJobsByIdLogs;adminAppBuildJobPostAppBuildJobsByIdCancel;adminAppBuildReleasePostAppBuildJobsByIdPublishStaging;adminAppBuildReleasePostAppBuildJobsByIdPromote,GET /admin-api/v1/app-build/profiles;POST /admin-api/v1/app-build/profiles;PUT /admin-api/v1/app-build/profiles/{id};GET /admin-api/v1/app-build/jobs;POST /admin-api/v1/app-build/jobs;GET /admin-api/v1/app-build/jobs/{id};GET /admin-api/v1/app-build/jobs/{id}/logs;POST /admin-api/v1/app-build/jobs/{id}/cancel;POST /admin-api/v1/app-build/jobs/{id}/publish-staging;POST /admin-api/v1/app-build/jobs/{id}/promote,REQ-BUILD-001;REQ-APK-001;REQ-PAGE-SPEC-001;REQ-ADMIN-OPS-001,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,app_build_profiles;app_build_jobs;app_build_job_steps;app_build_artifacts;app_signing_profiles;h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;admin_users;admin_roles;admin_permissions;admin_user_roles;admin_role_permissions;admin_operation_logs;admin_approval_requests,TST-BUILD_001-HAPPY;TST-APK_001-HAPPY;TST-BUILD_001-IDEMPOTENT;TST-APK_001-IDEMPOTENT;TST-V122-035;TST-V122-036,P00;R17;R28,admin_frontend_engineer;backend_engineer;test_engineer,ADM-BUILD-006;ADM-BUILD-007 全部绑定模板 ADM-BUILD，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：adminAppBuildProfileGetAppBuildProfiles;adminAppBuildProfilePostAppBuildProfiles;adminAppBuildProfilePutAppBuildProfilesById;adminAppBuildJobGetAppBuildJobs;adminAppBuildJobPostAppBuildJobs;adminAppBuildJobGetAppBuildJobsById;adminAppBuildJobGetAppBuildJobsByIdLogs;adminAppBuildJobPostAppBuildJobsByIdCancel;adminAppBuildReleasePostAppBuildJobsByIdPublishStaging;adminAppBuildReleasePostAppBuildJobsByIdPromote；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-BUILD_001-HAPPY;TST-APK_001-HAPPY;TST-BUILD_001-IDEMPOTENT;TST-APK_001-IDEMPOTENT;TST-V122-035;TST-V122-036,READY,READY_FOR_IMPLEMENTATION
STORY-R29-003,R29,App构建：构建中心首页,作为具备 app.build.manage 的后台员工；写操作另需 app.build.manage，我需要完成构建中心首页的完整业务流程，以便在不依赖研发临时决策的情况下实现官方App构建概览、队列、最近结果、失败告警和快捷创建。,ADMIN,App构建,ADM-DASHBOARD,ADM-BUILD-001,adminAppBuildProfileGetAppBuildProfiles;adminAppBuildProfilePostAppBuildProfiles;adminAppBuildProfilePutAppBuildProfilesById;adminAppBuildJobGetAppBuildJobs;adminAppBuildJobPostAppBuildJobs;adminAppBuildJobGetAppBuildJobsById;adminAppBuildJobGetAppBuildJobsByIdLogs;adminAppBuildJobPostAppBuildJobsByIdCancel,GET /admin-api/v1/app-build/profiles;POST /admin-api/v1/app-build/profiles;PUT /admin-api/v1/app-build/profiles/{id};GET /admin-api/v1/app-build/jobs;POST /admin-api/v1/app-build/jobs;GET /admin-api/v1/app-build/jobs/{id};GET /admin-api/v1/app-build/jobs/{id}/logs;POST /admin-api/v1/app-build/jobs/{id}/cancel,REQ-BUILD-001;REQ-APK-001,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,app_build_profiles;app_build_jobs;app_build_job_steps;app_build_artifacts;app_signing_profiles;h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs,TST-BUILD_001-HAPPY;TST-APK_001-HAPPY;TST-BUILD_001-IDEMPOTENT;TST-APK_001-IDEMPOTENT,P00;R17;R28,admin_frontend_engineer;backend_engineer;test_engineer,ADM-BUILD-001 全部绑定模板 ADM-DASHBOARD，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：adminAppBuildProfileGetAppBuildProfiles;adminAppBuildProfilePostAppBuildProfiles;adminAppBuildProfilePutAppBuildProfilesById;adminAppBuildJobGetAppBuildJobs;adminAppBuildJobPostAppBuildJobs;adminAppBuildJobGetAppBuildJobsById;adminAppBuildJobGetAppBuildJobsByIdLogs;adminAppBuildJobPostAppBuildJobsByIdCancel；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-BUILD_001-HAPPY;TST-APK_001-HAPPY;TST-BUILD_001-IDEMPOTENT;TST-APK_001-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R29-004,R29,版本：App版本,作为具备 app.release.read 的后台员工；写操作另需 app.release.manage，我需要完成App版本的完整业务流程，以便在不依赖研发临时决策的情况下实现APK、强制更新、灰度。,ADMIN,版本,ADM-BUILD,ADM-APP-001,adminAppReleaseGetAppVersions;adminAppReleasePostAppVersions;adminAppReleasePostAppVersionsByIdPublish,GET /admin-api/v1/app-versions;POST /admin-api/v1/app-versions;POST /admin-api/v1/app-versions/{id}/publish,REQ-APP-RELEASE-001,app.android.application_id;app.android.staging_application_id;app.android.display_name;app.android.signing.staging_profile;app.android.signing.production_profile;app.build.runner;app.build.allowed_ref_patterns;app.build.artifact_storage_scope,app_versions;app_release_records;app_build_artifacts;h5_page_configs;cms_articles;agreements;content_posts;users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs,TST-APP_RELEASE_001-HAPPY;TST-APP_RELEASE_001-IDEMPOTENT,P00;R17;R28,admin_frontend_engineer;backend_engineer;test_engineer,ADM-APP-001 全部绑定模板 ADM-BUILD，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：adminAppReleaseGetAppVersions;adminAppReleasePostAppVersions;adminAppReleasePostAppVersionsByIdPublish；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-APP_RELEASE_001-HAPPY;TST-APP_RELEASE_001-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R29-005,R29,官方App自助构建与版本发布中心：契约、数据、配置、测试与交接,作为技术负责人，我需要按冻结的 R29 契约和DoR完成数据、后端、配置、测试、观测与交接，使前端故事能够稳定落地并可追溯。,CROSS_PLATFORM,工程治理,N/A,ADM-APP-001;ADM-BUILD-001;ADM-BUILD-002;ADM-BUILD-003;ADM-BUILD-004;ADM-BUILD-005;ADM-BUILD-006;ADM-BUILD-007,adminAppReleaseGetAppVersions;adminAppReleasePostAppVersions;adminAppReleasePostAppVersionsByIdPublish;adminAppBuildProfileGetAppBuildProfiles;adminAppBuildProfilePostAppBuildProfiles;adminAppBuildProfilePutAppBuildProfilesById;adminAppBuildJobGetAppBuildJobs;adminAppBuildJobPostAppBuildJobs;adminAppBuildJobGetAppBuildJobsById;adminAppBuildJobGetAppBuildJobsByIdLogs;adminAppBuildJobPostAppBuildJobsByIdCancel;adminAppBuildJobPostAppBuildJobsByIdRetry;adminAppBuildArtifactGetAppBuildArtifacts;adminAppBuildArtifactGetAppBuildArtifactsByIdDownload;adminAppBuildReleasePostAppBuildJobsByIdPublishStaging;adminAppBuildReleasePostAppBuildJobsByIdPromote;adminAppSigningGetAppBuildSigningProfiles;adminAppSigningPostAppBuildSigningProfiles;adminAppSigningPostAppBuildSigningProfilesByIdTest,GET /admin-api/v1/app-versions;POST /admin-api/v1/app-versions;POST /admin-api/v1/app-versions/{id}/publish;GET /admin-api/v1/app-build/profiles;POST /admin-api/v1/app-build/profiles;PUT /admin-api/v1/app-build/profiles/{id};GET /admin-api/v1/app-build/jobs;POST /admin-api/v1/app-build/jobs;GET /admin-api/v1/app-build/jobs/{id};GET /admin-api/v1/app-build/jobs/{id}/logs;POST /admin-api/v1/app-build/jobs/{id}/cancel;POST /admin-api/v1/app-build/jobs/{id}/retry;GET /admin-api/v1/app-build/artifacts;GET /admin-api/v1/app-build/artifacts/{id}/download;POST /admin-api/v1/app-build/jobs/{id}/publish-staging;POST /admin-api/v1/app-build/jobs/{id}/promote;GET /admin-api/v1/app-build/signing-profiles;POST /admin-api/v1/app-build/signing-profiles;POST /admin-api/v1/app-build/signing-profiles/{id}/test,REQ-APP-RELEASE-001;REQ-DOMAIN-001;REQ-BUILD-001,app.android.application_id;app.android.staging_application_id;app.android.display_name;app.android.signing.staging_profile;app.android.signing.production_profile;app.build.runner;app.build.allowed_ref_patterns;app.build.artifact_storage_scope;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;home_modules;banners;agreement_versions;user_agreement_acceptances;app_download_logs;provider_config_definitions;provider_config_versions;provider_connection_tests;app_build_profiles;app_build_jobs;app_build_job_steps;app_signing_profiles,TST-APP_RELEASE_001-HAPPY;TST-APP_RELEASE_001-IDEMPOTENT;TST-APP_RELEASE_001-REJECT;TST-BUILD_001-HAPPY;TST-BUILD_001-IDEMPOTENT;TST-BUILD_001-REJECT;TST-V122-011;TST-V122-035;TST-V122-036;TST-V122-037;TST-V122-038,P00;R17;R28,tech_lead;backend_engineer;database_engineer;test_engineer;devops_engineer,OpenAPI、状态机、数据库迁移、配置Schema和页面契约引用一致，代码生成不得产生手工分叉 || 每个需求可追溯到页面/API/表/配置/测试/故事；不适用项必须显式N/A并说明 || 版本DoR全部PASS后方可编码；出口仍按原RELEASE_MANIFEST和ACCEPTANCE_MATRIX执行 || 变更必须通过CR，更新唯一事实源并重新生成全部派生目录和哈希 || 完成Session Log、追踪矩阵、发布证据和下一任务交接,READY,READY_FOR_IMPLEMENTATION
STORY-R30-001,R30,商品：商品与SKU,作为具备 product.manage 的后台员工；写操作另需 product.manage，我需要完成商品与SKU的完整业务流程，以便在不依赖研发临时决策的情况下实现价格、权益、分佣。,ADMIN,商品,ADM-LIST,ADM-PROD-001,adminProductsGetProducts;adminProductsPostProducts;adminProductsPatchProductsById;adminProductsGetSkus;adminProductsPostSkus;adminProductsPatchSkusById,GET /admin-api/v1/products;POST /admin-api/v1/products;PATCH /admin-api/v1/products/{id};GET /admin-api/v1/skus;POST /admin-api/v1/skus;PATCH /admin-api/v1/skus/{id},REQ-PRODUCT-001,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,products;product_skus;sku_commission_policies,TST-PRODUCT_001-HAPPY;TST-PRODUCT_001-IDEMPOTENT,R01;R23;R24;R28;R29,admin_frontend_engineer;backend_engineer;test_engineer,ADM-PROD-001 全部绑定模板 ADM-LIST，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：adminProductsGetProducts;adminProductsPostProducts;adminProductsPatchProductsById;adminProductsGetSkus;adminProductsPostSkus;adminProductsPatchSkusById；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-PRODUCT_001-HAPPY;TST-PRODUCT_001-IDEMPOTENT,READY,READY_FOR_IMPLEMENTATION
STORY-R30-002,R30,总览：数据驾驶舱,作为具备 dashboard.read 的后台员工；写操作另需 dashboard.manage，我需要完成数据驾驶舱的完整业务流程，以便在不依赖研发临时决策的情况下实现用户、内容、商业、奖励、风险和待办。,ADMIN,总览,ADM-DASHBOARD,ADM-DASH-001,adminDashboardGetDashboardSummary;adminDashboardGetDashboardTodos,GET /admin-api/v1/dashboard/summary;GET /admin-api/v1/dashboard/todos,REQ-ANALYTICS-001;REQ-ADMIN-001,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,daily_kpis;analytics_events;users;user_profiles;user_status_logs;user_sessions,TST-ANALYTICS_001-HAPPY;TST-ADMIN_001-HAPPY,R01;R23;R24;R28;R29,admin_frontend_engineer;backend_engineer;test_engineer,ADM-DASH-001 全部绑定模板 ADM-DASHBOARD，字段、状态、动作、导航和错误恢复无TBD || 页面调用 operationId：adminDashboardGetDashboardSummary;adminDashboardGetDashboardTodos；请求/响应字段不得另行发明 || 按钮显示、可用和确认条件与服务端状态机、权限、expectedVersion、幂等策略一致 || 首屏、空、刷新、翻页/局部失败、无权限、404、离线和版本冲突状态按页面状态目录实现 || 敏感字段按分级脱敏；高敏读取和后台写操作完整审计 || 自动化覆盖：TST-ANALYTICS_001-HAPPY;TST-ADMIN_001-HAPPY,READY,READY_FOR_IMPLEMENTATION
