字段ID,页面ID,平台,页面,区域,字段键,显示名称,字段角色,语义类型,控件类型,数据来源,必填条件,显示条件,可编辑条件,校验规则,默认值,选项来源,敏感级别,脱敏规则,帮助说明,错误提示,排序,关联operationId,成熟度
FLD-03470,ADM-REF-003,ADMIN,佣金记录,主要内容,calculatedAt,calculated At,DISPLAY,string,DATETIME_TEXT,adminReferralActivityGetReferralActivityRules.response.data.ReferralActivityResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,格式:date-time,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,calculated At加载失败时显示字段级占位或隐藏,90,adminReferralActivityGetReferralActivityRules,FROZEN_V1.2.2
FLD-03471,ADM-REF-004,ADMIN,直推活跃规则,页面头部,pageTitle,页面标题,UI_META,ui,TEXT,LOCAL_UI,必需,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,页面标题不符合页面规格,1,,FROZEN_V1.2.2
FLD-03472,ADM-REF-004,ADMIN,直推活跃规则,筛选区,filterSummary,当前筛选条件,UI_META,ui,FILTER_SUMMARY,LOCAL_UI,有筛选时显示,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,当前筛选条件不符合页面规格,2,,FROZEN_V1.2.2
FLD-03473,ADM-REF-004,ADMIN,直推活跃规则,列表摘要,resultCount,结果数量,UI_META,ui,NUMBER_TEXT,LOCAL_UI,服务端提供时显示,按页面状态显示,本地UI字段不可写入业务事实,≥0,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,结果数量不符合页面规格,3,,FROZEN_V1.2.2
FLD-03474,ADM-REF-004,ADMIN,直推活跃规则,内容区,emptyStateReason,空状态原因,UI_META,ui,EMPTY_STATE,LOCAL_UI,结果为空时必需,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,空状态原因不符合页面规格,4,,FROZEN_V1.2.2
FLD-03475,ADM-REF-004,ADMIN,直推活跃规则,表格工具栏,columnPreference,列显示设置,UI_META,ui,COLUMN_PICKER,LOCAL_UI,可选,按页面状态显示,本地UI字段不可写入业务事实,关键列不可隐藏,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,列显示设置不符合页面规格,5,,FROZEN_V1.2.2
FLD-03476,ADM-REF-004,ADMIN,直推活跃规则,表格,batchSelection,批量选择,UI_META,ui,ROW_SELECTION,LOCAL_UI,具备批量权限时显示,按页面状态显示,本地UI字段不可写入业务事实,跨页选择必须显式,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,批量选择不符合页面规格,6,,FROZEN_V1.2.2
FLD-03477,ADM-REF-004,ADMIN,直推活跃规则,路由与筛选,page,页码,FILTER,integer,NUMBER_INPUT,adminReferralGetReferralRelations.query,可选；仅在对应操作/筛选时提交,执行“邀请关系列表”时显示,用户具备权限且页面状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码格式或范围不正确,7,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03478,ADM-REF-004,ADMIN,直推活跃规则,路由与筛选,pageSize,每页数量,FILTER,integer,NUMBER_INPUT,adminReferralGetReferralRelations.query,可选；仅在对应操作/筛选时提交,执行“邀请关系列表”时显示,用户具备权限且页面状态允许,≥1；≤100,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,每页数量,每页数量格式或范围不正确,8,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03479,ADM-REF-004,ADMIN,直推活跃规则,路由与筛选,cursor,游标,FILTER,string,FILTER_INPUT,adminReferralGetReferralRelations.query,可选；仅在对应操作/筛选时提交,执行“邀请关系列表”时显示,用户具备权限且页面状态允许,最多256字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,游标；与page二选一,游标格式或范围不正确,9,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03480,ADM-REF-004,ADMIN,直推活跃规则,路由与筛选,status,状态,FILTER,string,FILTER_INPUT,adminReferralGetReferralRelations.query,可选；仅在对应操作/筛选时提交,执行“邀请关系列表”时显示,用户具备权限且页面状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,状态筛选,状态格式或范围不正确,10,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03481,ADM-REF-004,ADMIN,直推活跃规则,路由与筛选,keyword,关键词,FILTER,string,FILTER_INPUT,adminReferralGetReferralRelations.query,可选；仅在对应操作/筛选时提交,执行“邀请关系列表”时显示,用户具备权限且页面状态允许,最多100字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,关键词筛选,关键词格式或范围不正确,11,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03482,ADM-REF-004,ADMIN,直推活跃规则,路由与筛选,sort,排序,FILTER,string,FILTER_INPUT,adminReferralGetReferralRelations.query,可选；仅在对应操作/筛选时提交,执行“邀请关系列表”时显示,用户具备权限且页面状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,白名单排序字段，例如 createdAt:desc,排序格式或范围不正确,12,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03483,ADM-REF-004,ADMIN,直推活跃规则,表单输入,page,页码,INPUT,integer,NUMBER_INPUT,adminReferralGetReferralRelations.request,可选；按业务条件或页面状态决定,执行“邀请关系列表”且字段适用时显示,具备 referral.read 且资源状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码不符合要求,13,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03484,ADM-REF-004,ADMIN,直推活跃规则,表单输入,pageSize,每页数量,INPUT,integer,NUMBER_INPUT,adminReferralGetReferralRelations.request,可选；按业务条件或页面状态决定,执行“邀请关系列表”且字段适用时显示,具备 referral.read 且资源状态允许,≥1；≤100,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,每页数量,每页数量不符合要求,14,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03485,ADM-REF-004,ADMIN,直推活跃规则,表单输入,cursor,游标,INPUT,string,TEXT_INPUT,adminReferralGetReferralRelations.request,可选；按业务条件或页面状态决定,执行“邀请关系列表”且字段适用时显示,具备 referral.read 且资源状态允许,最多256字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,游标；与page二选一,游标不符合要求,15,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03486,ADM-REF-004,ADMIN,直推活跃规则,表单输入,status,状态,INPUT,string,TEXT_INPUT,adminReferralGetReferralRelations.request,可选；按业务条件或页面状态决定,执行“邀请关系列表”且字段适用时显示,具备 referral.read 且资源状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,状态筛选,状态不符合要求,16,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03487,ADM-REF-004,ADMIN,直推活跃规则,表单输入,keyword,关键词,INPUT,string,TEXT_INPUT,adminReferralGetReferralRelations.request,可选；按业务条件或页面状态决定,执行“邀请关系列表”且字段适用时显示,具备 referral.read 且资源状态允许,最多100字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,关键词筛选,关键词不符合要求,17,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03488,ADM-REF-004,ADMIN,直推活跃规则,表单输入,sort,排序,INPUT,string,TEXT_INPUT,adminReferralGetReferralRelations.request,可选；按业务条件或页面状态决定,执行“邀请关系列表”且字段适用时显示,具备 referral.read 且资源状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,白名单排序字段，例如 createdAt:desc,排序不符合要求,18,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03489,ADM-REF-004,ADMIN,直推活跃规则,主要内容,userId,用户ID,DISPLAY,string,TEXT,adminReferralGetReferralRelations.response.data.ReferralResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,用户ID加载失败时显示字段级占位或隐藏,19,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03490,ADM-REF-004,ADMIN,直推活跃规则,主要内容,inviteCode,邀请码,DISPLAY,string,TEXT,adminReferralGetReferralRelations.response.data.ReferralResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,邀请码加载失败时显示字段级占位或隐藏,20,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03491,ADM-REF-004,ADMIN,直推活跃规则,主要内容,directCount,直推人数,DISPLAY,integer,NUMBER_TEXT,adminReferralGetReferralRelations.response.data.ReferralResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,≥0；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,直推人数加载失败时显示字段级占位或隐藏,21,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03492,ADM-REF-004,ADMIN,直推活跃规则,主要内容,level2Count,二级人数,DISPLAY,integer,NUMBER_TEXT,adminReferralGetReferralRelations.response.data.ReferralResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,≥0；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,二级人数加载失败时显示字段级占位或隐藏,22,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03493,ADM-REF-004,ADMIN,直推活跃规则,主要内容,qualifiedDirectCount,合格直推人数,DISPLAY,integer,NUMBER_TEXT,adminReferralGetReferralRelations.response.data.ReferralResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,≥0；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,合格直推人数加载失败时显示字段级占位或隐藏,23,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03494,ADM-REF-004,ADMIN,直推活跃规则,主要内容,pendingCommissionCent,待结算佣金,DISPLAY,integer,MONEY_TEXT,adminReferralGetReferralRelations.response.data.ReferralResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,≥0；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,待结算佣金加载失败时显示字段级占位或隐藏,24,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03495,ADM-REF-004,ADMIN,直推活跃规则,主要内容,settledCommissionCent,已结算佣金,DISPLAY,integer,MONEY_TEXT,adminReferralGetReferralRelations.response.data.ReferralResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,≥0；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,已结算佣金加载失败时显示字段级占位或隐藏,25,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03496,ADM-REF-004,ADMIN,直推活跃规则,主要内容,milestones,奖励档位,DISPLAY,array<object>,LIST,adminReferralGetReferralRelations.response.data.ReferralResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多100项,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,奖励档位加载失败时显示字段级占位或隐藏,26,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03497,ADM-REF-004,ADMIN,直推活跃规则,主要内容,version,版本,DISPLAY,integer,NUMBER_TEXT,adminReferralGetReferralRelations.response.data.ReferralResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,版本加载失败时显示字段级占位或隐藏,27,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03498,ADM-REF-004,ADMIN,直推活跃规则,路由与筛选,inviteeId,invitee Id,PATH_PARAM,string,TEXT_INPUT,adminReferralPostReferralRelationsByInviteeidAdjust.path,必填,执行“纠纷调整关系”时显示,用户具备权限且页面状态允许,"必填；正则:^[A-Za-z0-9_-]{1,64}$",由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,路径资源标识：inviteeId,invitee Id格式或范围不正确,28,adminReferralPostReferralRelationsByInviteeidAdjust,FROZEN_V1.2.2
FLD-03499,ADM-REF-004,ADMIN,直推活跃规则,请求头,X-Idempotency-Key,X-Idempotency-Key,REQUEST_HEADER,string,TEXT_INPUT,adminReferralPostReferralRelationsByInviteeidAdjust.header,必填,执行“纠纷调整关系”时显示,用户具备权限且页面状态允许,必填；最多128字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,X-Idempotency-Key格式或范围不正确,29,adminReferralPostReferralRelationsByInviteeidAdjust,FROZEN_V1.2.2
FLD-03500,ADM-REF-004,ADMIN,直推活跃规则,表单输入,newInviterId,new Inviter Id,INPUT,string,TEXT_INPUT,adminReferralPostReferralRelationsByInviteeidAdjust.request,必填,执行“纠纷调整关系”且字段适用时显示,具备 referral.adjust 且资源状态允许,必填；最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,new Inviter Id不符合要求,30,adminReferralPostReferralRelationsByInviteeidAdjust,FROZEN_V1.2.2
FLD-03501,ADM-REF-004,ADMIN,直推活跃规则,表单输入,reason,原因,INPUT,string,TEXT_INPUT,adminReferralPostReferralRelationsByInviteeidAdjust.request,必填,执行“纠纷调整关系”且字段适用时显示,具备 referral.adjust 且资源状态允许,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,原因不符合要求,31,adminReferralPostReferralRelationsByInviteeidAdjust,FROZEN_V1.2.2
FLD-03502,ADM-REF-004,ADMIN,直推活跃规则,表单输入,expectedVersion,数据版本,INPUT,integer,NUMBER_INPUT,adminReferralPostReferralRelationsByInviteeidAdjust.request,必填,执行“纠纷调整关系”且字段适用时显示,具备 referral.adjust 且资源状态允许,必填；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,数据版本不符合要求,32,adminReferralPostReferralRelationsByInviteeidAdjust,FROZEN_V1.2.2
FLD-03503,ADM-REF-004,ADMIN,直推活跃规则,表单输入,name,名称,INPUT,string,TEXT_INPUT,adminReferralPostCommissionPolicies.request,必填,执行“创建策略版本”且字段适用时显示,具备 commission.write 且资源状态允许,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,名称不符合要求,55,adminReferralPostCommissionPolicies,FROZEN_V1.2.2
FLD-03504,ADM-REF-004,ADMIN,直推活跃规则,表单输入,effectiveAt,生效时间,INPUT,string,DATETIME_PICKER,adminReferralPostCommissionPolicies.request,必填,执行“创建策略版本”且字段适用时显示,具备 commission.write 且资源状态允许,必填；格式:date-time,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,生效时间不符合要求,56,adminReferralPostCommissionPolicies,FROZEN_V1.2.2
FLD-03505,ADM-REF-004,ADMIN,直推活跃规则,表单输入,criteria,criteria,INPUT,object,STRUCTURED_EDITOR,adminReferralPostCommissionPolicies.request,可选；按业务条件或页面状态决定,执行“创建策略版本”且字段适用时显示,具备 commission.write 且资源状态允许,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,criteria不符合要求,57,adminReferralPostCommissionPolicies,FROZEN_V1.2.2
FLD-03506,ADM-REF-004,ADMIN,直推活跃规则,表单输入,rule,rule,INPUT,object,STRUCTURED_EDITOR,adminReferralPostCommissionPolicies.request,必填,执行“创建策略版本”且字段适用时显示,具备 commission.write 且资源状态允许,必填,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,rule不符合要求,58,adminReferralPostCommissionPolicies,FROZEN_V1.2.2
FLD-03507,ADM-REF-004,ADMIN,直推活跃规则,表单输入,remark,备注,INPUT,string,TEXT_INPUT,adminReferralPostCommissionPolicies.request,可选；按业务条件或页面状态决定,执行“创建策略版本”且字段适用时显示,具备 commission.write 且资源状态允许,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,备注不符合要求,59,adminReferralPostCommissionPolicies,FROZEN_V1.2.2
FLD-03508,ADM-REF-004,ADMIN,直推活跃规则,主要内容,ruleVersion,rule Version,DISPLAY,string,TEXT,adminReferralActivityGetReferralActivityRules.response.data.ReferralActivityResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,rule Version加载失败时显示字段级占位或隐藏,94,adminReferralActivityGetReferralActivityRules,FROZEN_V1.2.2
FLD-03509,ADM-REF-004,ADMIN,直推活跃规则,主要内容,score,风险分,DISPLAY,string,TEXT,adminReferralActivityGetReferralActivityRules.response.data.ReferralActivityResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,风险分加载失败时显示字段级占位或隐藏,95,adminReferralActivityGetReferralActivityRules,FROZEN_V1.2.2
FLD-03510,ADM-REF-004,ADMIN,直推活跃规则,主要内容,qualified,qualified,DISPLAY,string,TEXT,adminReferralActivityGetReferralActivityRules.response.data.ReferralActivityResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,qualified加载失败时显示字段级占位或隐藏,96,adminReferralActivityGetReferralActivityRules,FROZEN_V1.2.2
FLD-03511,ADM-REF-004,ADMIN,直推活跃规则,主要内容,milestoneCode,milestone Code,DISPLAY,string,TEXT,adminReferralActivityGetReferralActivityRules.response.data.ReferralActivityResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,milestone Code加载失败时显示字段级占位或隐藏,97,adminReferralActivityGetReferralActivityRules,FROZEN_V1.2.2
FLD-03512,ADM-REF-004,ADMIN,直推活跃规则,主要内容,rewardStatus,reward Status,DISPLAY,string,TEXT,adminReferralActivityGetReferralActivityRules.response.data.ReferralActivityResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,reward Status加载失败时显示字段级占位或隐藏,98,adminReferralActivityGetReferralActivityRules,FROZEN_V1.2.2
FLD-03513,ADM-REF-004,ADMIN,直推活跃规则,主要内容,calculatedAt,calculated At,DISPLAY,string,DATETIME_TEXT,adminReferralActivityGetReferralActivityRules.response.data.ReferralActivityResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,格式:date-time,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,calculated At加载失败时显示字段级占位或隐藏,99,adminReferralActivityGetReferralActivityRules,FROZEN_V1.2.2
FLD-03514,ADM-REF-005,ADMIN,直推进度,页面头部,pageTitle,页面标题,UI_META,ui,TEXT,LOCAL_UI,必需,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,页面标题不符合页面规格,1,,FROZEN_V1.2.2
FLD-03515,ADM-REF-005,ADMIN,直推进度,筛选区,filterSummary,当前筛选条件,UI_META,ui,FILTER_SUMMARY,LOCAL_UI,有筛选时显示,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,当前筛选条件不符合页面规格,2,,FROZEN_V1.2.2
FLD-03516,ADM-REF-005,ADMIN,直推进度,列表摘要,resultCount,结果数量,UI_META,ui,NUMBER_TEXT,LOCAL_UI,服务端提供时显示,按页面状态显示,本地UI字段不可写入业务事实,≥0,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,结果数量不符合页面规格,3,,FROZEN_V1.2.2
FLD-03517,ADM-REF-005,ADMIN,直推进度,内容区,emptyStateReason,空状态原因,UI_META,ui,EMPTY_STATE,LOCAL_UI,结果为空时必需,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,空状态原因不符合页面规格,4,,FROZEN_V1.2.2
FLD-03518,ADM-REF-005,ADMIN,直推进度,表格工具栏,columnPreference,列显示设置,UI_META,ui,COLUMN_PICKER,LOCAL_UI,可选,按页面状态显示,本地UI字段不可写入业务事实,关键列不可隐藏,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,列显示设置不符合页面规格,5,,FROZEN_V1.2.2
FLD-03519,ADM-REF-005,ADMIN,直推进度,表格,batchSelection,批量选择,UI_META,ui,ROW_SELECTION,LOCAL_UI,具备批量权限时显示,按页面状态显示,本地UI字段不可写入业务事实,跨页选择必须显式,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,批量选择不符合页面规格,6,,FROZEN_V1.2.2
FLD-03520,ADM-REF-005,ADMIN,直推进度,路由与筛选,page,页码,FILTER,integer,NUMBER_INPUT,adminReferralGetReferralRelations.query,可选；仅在对应操作/筛选时提交,执行“邀请关系列表”时显示,用户具备权限且页面状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码格式或范围不正确,7,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03521,ADM-REF-005,ADMIN,直推进度,路由与筛选,pageSize,每页数量,FILTER,integer,NUMBER_INPUT,adminReferralGetReferralRelations.query,可选；仅在对应操作/筛选时提交,执行“邀请关系列表”时显示,用户具备权限且页面状态允许,≥1；≤100,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,每页数量,每页数量格式或范围不正确,8,adminReferralGetReferralRelations,FROZEN_V1.2.2
FLD-03522,ADM-REF-005,ADMIN,直推进度,路由与筛选,cursor,游标,FILTER,string,FILTER_INPUT,adminReferralGetReferralRelations.query,可选；仅在对应操作/筛选时提交,执行“邀请关系列表”时显示,用户具备权限且页面状态允许,最多256字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,游标；与page二选一,游标格式或范围不正确,9,adminReferralGetReferralRelations,FROZEN_V1.2.2
